City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Vaini,0,IN,1553287744,78,15.34,74.49,64.3,1.16
La Ronge,20,CA,1553284800,40,55.1,-105.3,53.6,4.74
Mataura,44,NZ,1553287206,83,-46.19,168.86,61,1.01
Bethel,40,US,1553284560,70,60.79,-161.76,42.8,12.75
Khatanga,0,RU,1553287745,25,71.98,102.47,-17.25,8.21
Mozarlandia,44,BR,1553287745,82,-14.74,-50.57,81.76,3.18
Srednekolymsk,0,RU,1553287264,38,67.46,153.71,-11.76,3.62
Manzhouli,8,CN,1553287718,65,49.6,117.43,6.79,7.2
Thompson,40,CA,1553284800,39,55.74,-97.86,46.4,13.87
Kaitangata,56,NZ,1553287747,88,-46.28,169.85,59.44,4.41
Lebu,40,ET,1553284800,37,8.96,38.73,66.2,4.7
Jacareacanga,56,BR,1553287747,80,-6.22,-57.76,83.92,1.72
Esperance,40,TT,1553287585,55,10.24,-61.45,91,11.41
Babai,0,UA,1553284800,74,49.9,36.2,35.6,13.42
Guaimaro,90,CO,1553284800,74,10.58,-74.71,80.6,13.87
Deputatskiy,8,RU,1553287748,0,69.3,139.9,-35.43,2.62
Saint-Philippe,90,CA,1553287112,100,45.36,-73.48,39.2,9.17
Ratnagiri,0,IN,1553287525,100,16.98,73.3,76.54,11.68
Saskylakh,56,RU,1553287156,76,71.97,114.09,-3.93,19.06
Sola,75,NO,1553287098,100,58.89,5.65,45,17.22
Butaritari,92,KI,1553287749,100,3.07,172.79,76.27,5.3
Elizabeth City,75,US,1553287452,31,36.3,-76.22,61,17.22
Georgetown,20,GY,1553284800,66,6.8,-58.16,87.8,13.87
Camabatela,64,AO,1553287750,97,-8.19,15.37,65.02,2.39
Boa Vista,40,BR,1553284800,28,2.82,-60.67,96.8,9.17
Green Valley,1,US,1553287740,37,40.41,-89.64,55.99,10.29
Mitsamiouli,20,KM,1553284800,78,-11.38,43.28,78.8,4.7
Jamestown,92,AU,1553287462,73,-33.21,138.6,67.27,5.75
Namibe,20,AO,1553287753,100,-15.19,12.15,78.25,1.39
Port Augusta,40,AU,1553287700,78,-32.49,137.76,73.99,10.29
Baldeo,0,IN,1553287753,42,27.42,77.82,65.83,10.67
Bombay,90,US,1553287569,96,44.94,-74.57,35.6,6.93
Ugoofaaru,92,MV,1553287754,94,5.67,73,85.9,8.77
Hobart,75,AU,1553287455,82,-42.88,147.33,60.8,8.05
Hamilton,75,BM,1553286659,77,32.3,-64.78,69.8,26.4
Kasempa,32,ZM,1553287754,51,-13.46,25.83,72.76,7.76
Ancud,90,CL,1553284800,76,-41.87,-73.83,57.2,18.34
Tual,24,ID,1553287755,95,-5.67,132.75,84.82,13.8
Sorland,90,NO,1553284200,93,67.67,12.69,42.8,21.92
Vardo,90,US,1553287624,69,39.62,-77.74,46.99,21.92
Lata,0,IN,1553287758,66,30.78,78.62,33.16,2.39
Kupang,8,ID,1553287250,95,-10.16,123.6,81.58,11.45
Manavgat,0,TR,1553286000,67,36.79,31.44,57.2,6.93
Grindavik,75,IS,1553286699,100,63.84,-22.43,34,40.26
Pemberton,24,AU,1553287756,96,-34.44,116.03,50,12.01
Bredasdorp,20,ZA,1553287580,77,-34.53,20.04,66.2,8.05
Hilo,90,US,1553287697,64,19.71,-155.08,77,16.15
Paine,0,CL,1553284800,26,-33.81,-70.74,87.8,14.99
Castro,90,CL,1553284800,76,-42.48,-73.76,57.2,18.34
Victoria Point,75,AU,1553287749,100,-27.58,153.3,75.2,4.7
Honiara,24,SB,1553287760,89,-9.43,159.96,77.98,1.16
Tasiilaq,20,GL,1553284200,66,65.61,-37.64,14,13.87
Ponta do Sol,92,BR,1553287761,86,-20.63,-46,68.62,9.78
Setermoen,75,NO,1553287580,74,68.86,18.35,37.4,28.86
Severo-Kurilsk,92,RU,1553287195,97,50.68,156.12,31.09,23.42
Wyndham,92,GB,1553287746,87,51.61,-3.54,51.01,10.29
Cherdyn,80,RU,1553287762,81,60.4,56.48,22.54,2.62
Flinders,8,AU,1553287629,100,-34.58,150.85,64.99,8.05
Meulaboh,12,ID,1553287205,100,4.14,96.13,79.6,4.07
Padang,68,ID,1553287225,100,-0.92,100.36,77.62,3.74
College,1,US,1553287506,42,64.86,-147.8,54,9.17
Medea,75,DZ,1553284800,93,36.27,2.77,53.6,3.36
Dalvik,75,SE,1553287545,81,57.79,14.13,44.6,13.87
Texarkana,1,US,1553287382,28,33.44,-94.04,73.99,3.36
Amahai,24,ID,1553287245,76,-3.31,129,84.99,3
Bambous Virieux,40,MU,1553287741,83,-20.34,57.76,82.4,6.93
Arraial do Cabo,75,BR,1553284800,61,-22.97,-42.02,78.8,10.29
Klaksvik,24,FO,1553286000,55,62.23,-6.59,39.2,34.45
Laramie,90,US,1553287506,86,41.31,-105.59,44.01,5.82
Beringovskiy,32,RU,1553287229,77,63.05,179.32,-0.6,26.11
Forbes,76,AU,1553287515,70,-33.38,148.01,66.99,5.19
Batemans Bay,20,AU,1553287553,96,-35.71,150.18,62.01,4.18
Saint Anthony,75,US,1553287535,65,43.97,-111.68,45,5.82
Nuevo Ideal,0,MX,1553287766,16,24.89,-105.07,71.59,7.76
Yar-Sale,64,RU,1553287194,79,66.83,70.83,15.61,4.97
Faanui,88,PF,1553287766,100,-16.48,-151.75,83.83,7.99
Pergamino,0,AR,1553287712,41,-33.9,-60.57,77,4
Torrington,40,US,1553287571,57,42.06,-104.18,50,8.05
Emerald,0,AU,1553287403,94,-23.53,148.16,71.6,5.82
Ahipara,24,NZ,1553287767,87,-35.17,173.16,68.17,3.4
Port Lincoln,0,AU,1553287767,100,-34.72,135.86,61.33,6.53
East London,20,ZA,1553284800,83,-33.02,27.91,69.8,8.05
Filadelfia,44,PY,1553287768,76,-22.35,-60.04,80.23,4.97
Atuona,64,PF,1553287768,100,-9.8,-139.03,81.85,16.6
Liberal,90,US,1553287556,87,37.04,-100.92,57,6.93
Lac du Bonnet,0,CA,1553287553,54,50.25,-96.06,41,6.76
Mehamn,75,NO,1553284200,68,71.03,27.85,30.2,23.04
Mar del Plata,92,AR,1553287769,65,-46.43,-67.52,63.67,14.92
San Juan,40,PR,1553287763,69,18.47,-66.12,84.2,11.41
Sao Filipe,0,CV,1553287773,97,14.9,-24.5,70.6,13.02
Morrope,20,PE,1553284800,29,-6.54,-80.02,66.2,21.92
Fortuna,0,ES,1553286950,39,38.18,-1.13,62.6,4.7
Xian,0,ES,1553287727,81,42.76,-8.49,55.99,2.24
New Norfolk,75,AU,1553287755,82,-42.78,147.06,60.8,8.05
Norman Wells,90,CA,1553284800,79,65.28,-126.83,21.2,8.05
Yekaterinoslavka,44,RU,1553287774,62,54.34,72.46,15.79,2.62
Amapa,40,HN,1553284800,43,15.09,-87.97,87.8,23.04
Bujumbura,12,BI,1553287775,100,-3.36,29.37,63.4,1.61
Mount Isa,0,AU,1553284800,57,-20.73,139.49,80.6,9.17
Bubaque,44,GW,1553287775,98,11.28,-15.83,77.98,13.69
San Ramon de la Nueva Oran,12,AR,1553287485,85,-23.13,-64.33,71.41,4.41
Moses Lake,1,US,1553287515,50,47.13,-119.28,61,5.82
Pochutla,40,MX,1553287551,55,15.74,-96.47,89.6,5.97
San Cristobal,90,EC,1553286661,81,-0.39,-78.55,66.2,5.82
Inuvik,90,CA,1553285340,78,68.36,-133.71,10.4,11.41
Mbaiki,0,CF,1553287777,94,3.87,17.99,74.74,2.06
Biltine,0,TD,1553287777,43,14.53,20.93,74.2,4.41
Portland,90,US,1553287037,76,45.52,-122.67,53.01,9.17
Ostrovnoy,0,RU,1553287777,76,68.05,39.51,17.59,12.68
Hasaki,75,JP,1553284940,70,35.73,140.83,44.01,6.93
Pacifica,90,US,1553287772,82,37.61,-122.49,61,16.11
Barrow,0,AR,1553287778,45,-38.31,-60.23,72.94,12.24
Waddan,0,LY,1553287778,59,29.16,16.14,61.15,12.91
Maidens,75,GB,1553287506,75,55.33,-4.81,44.6,17.22
Nouadhibou,40,MR,1553284800,82,20.93,-17.03,66.2,9.17
Lompoc,1,US,1553287646,63,34.64,-120.46,66.99,9.17
Half Moon Bay,90,US,1553287778,82,37.46,-122.43,61,16.11
Saint-Pierre,0,FR,1553287740,61,48.95,4.24,50,2.24
Boende,8,CD,1553287780,96,-0.28,20.88,73.57,2.17
Torbay,75,CA,1553287608,92,47.66,-52.73,33.01,17.22
Chokurdakh,0,RU,1553287781,29,70.62,147.9,-20.49,9.55
Orcopampa,92,PE,1553287781,91,-15.27,-72.34,40.09,2.39
Alamosa,1,US,1553287423,44,37.47,-105.87,41,19.46
Nikolskoye,90,RU,1553284800,55,59.7,30.79,37.4,13.42
Talara,0,PE,1553284800,290,-4.58,-81.27,62.6,10.11
Wabag,88,PG,1553287782,95,-5.48,143.7,53.5,1.39
Talnakh,0,RU,1553287782,59,69.49,88.39,-7.26,2.17
Zhezkazgan,92,KZ,1553287782,88,47.8,67.71,38.92,5.19
Yuxia,0,CN,1553284800,63,34.06,108.63,32,4.18
Chiang Kham,0,TH,1553284800,82,19.53,100.3,66.2,2.62
Kingaroy,90,AU,1553284800,94,-26.54,151.84,69.8,2.95
Sebinkarahisar,0,TR,1553287783,78,40.29,38.42,16.15,2.06
Vila Franca do Campo,40,PT,1553287734,82,37.72,-25.43,59,5.82
Lahaina,20,US,1553287648,61,20.87,-156.68,80.6,14.99
Kruisfontein,64,ZA,1553287784,89,-34,24.73,67.09,8.99
Caravelas,92,BR,1553287786,100,-17.73,-39.27,80.86,18.28
Huarmey,20,PE,1553287786,52,-10.07,-78.15,78.07,3.29
Tynda,0,RU,1553287254,62,55.15,124.74,-9.42,2.51
Elin Pelin,0,BG,1553287618,65,42.67,23.6,50,2.39
Bitung,20,ID,1553284800,100,1.44,125.19,71.6,2.24
Khromtau,0,KZ,1553287787,67,50.26,58.44,21.37,3.51
Mahebourg,40,MU,1553287741,83,-20.41,57.7,82.4,6.93
Kutum,8,SD,1553287785,24,14.2,24.66,66.55,8.77
Uvarovka,88,RU,1553287787,84,55.53,35.61,30.82,16.71
Dossor,68,KZ,1553287789,71,47.52,52.98,41.62,7.65
Berlevag,0,NO,1553284200,63,70.86,29.09,30.2,26.4
Coahuayana,0,MX,1553287789,24,18.62,-100.35,88.15,3.18
Narrabri,0,AU,1553284800,60,-30.33,149.78,68,1.12
Luganville,76,VU,1553287789,100,-15.51,167.18,80.14,6.2
Bagotville,20,AU,1553287643,94,-28.98,153.42,69.01,6.93
Kalianget,76,ID,1553287194,100,-7.74,113.68,74.92,1.83
Robertsport,64,LR,1553287790,100,6.75,-11.37,81.22,7.99
Bonavista,24,CA,1553287572,88,48.65,-53.11,30.99,5.01
Nanortalik,92,GL,1553287197,96,60.14,-45.24,32.98,27.78
Peniche,0,PT,1553287562,44,39.36,-9.38,63,6.93
Nelson Bay,0,AU,1553287679,100,-32.72,152.14,63,5.82
Narsaq,90,GL,1553284200,79,60.91,-46.05,21.2,3.36
Amga,8,RU,1553287791,24,60.89,131.98,-17.43,3.96
Souillac,0,FR,1553287723,57,45.6,-0.6,55,2.24
Mayor Pablo Lagerenza,44,PY,1553287792,72,-19.93,-60.77,81.22,5.3
Luderitz,0,NA,1553287793,88,-26.65,15.16,59.8,8.21
Salinas,40,US,1553287572,62,36.67,-121.66,62.01,4.07
Lewiston,1,US,1553287584,50,46.42,-117.02,64,6.93
Haines Junction,48,CA,1553287794,55,60.75,-137.51,44.68,3.18
Gornopravdinsk,92,RU,1553287794,91,60.06,69.92,30.82,2.95
Black River,75,JM,1553287616,78,18.03,-77.85,79,12.75
Araouane,80,ML,1553287794,17,18.9,-3.53,74.2,7.43
Kaeo,0,NZ,1553287794,75,-35.1,173.78,68.35,4.41
Angoche,76,MZ,1553287795,100,-16.23,39.91,80.77,2.73
Ribeira Grande,40,PT,1553284800,82,38.52,-28.7,62.6,10.29
Farmington,75,US,1553287356,39,36.73,-108.21,51.01,19.46
Kroya,36,ID,1553287795,96,-6.5,108.06,73.3,2.39
Toamasina,40,MG,1553284800,83,-18.17,49.38,78.8,2.62
Touros,40,BR,1553284800,83,-5.2,-35.46,84.2,5.82
Mazyr,0,BY,1553287797,52,52.05,29.27,34.96,17.05
Herat,0,AF,1553284500,71,34.35,62.22,50,2.24
Danshui,75,CN,1553287792,94,22.81,114.46,72,6.71
Porto Velho,56,BR,1553287798,80,-8.75,-63.87,83.38,2.95
Riyadh,0,SA,1553284800,40,24.63,46.72,68,10.29
Port Blair,0,IN,1553287799,100,11.67,92.75,82.39,10.67
Yumen,0,CN,1553287799,58,40.29,97.04,22.99,6.76
Presidente Medici,68,BR,1553287740,78,-11.18,-61.9,83.65,2.62
Presidencia Roque Saenz Pena,0,AR,1553287743,59,-26.79,-60.44,78.43,6.31
Chimoio,75,MZ,1553284800,100,-19.11,33.48,69.8,4.7
Kologriv,88,RU,1553287800,93,58.83,44.31,30.73,2.62
Slave Lake,1,CA,1553284800,69,55.28,-114.77,39.2,3.36
Nemuro,48,JP,1553287800,100,43.32,145.57,25.87,21.52
Alice Springs,0,AU,1553284800,26,-23.7,133.88,69.8,4.7
Saint Lawrence,75,MT,1553287565,82,36.06,14.2,59,12.75
Cap Malheureux,40,MU,1553287741,83,-19.98,57.61,82.4,6.93
Laval,90,CA,1553287511,100,45.58,-73.75,39.2,9.17
Quelimane,92,MZ,1553287802,93,-17.88,36.89,76.45,6.98
Ridgecrest,1,US,1553287542,31,35.62,-117.67,69.01,3.36
Petropavlovsk-Kamchatskiy,40,RU,1553284800,62,53.05,158.65,23,4.47
Umm Lajj,0,SA,1553287803,100,25.02,37.27,64.12,3.29
Arica,0,CL,1553284800,53,-18.48,-70.32,77,11.41
Buraydah,5,SA,1553284800,60,26.33,43.97,68,14.99
Micoud,75,LC,1553287586,74,13.82,-60.9,84,12.75
Kenai,20,US,1553287623,70,60.55,-151.26,48.99,12.75
Antsirabe,20,MG,1553287804,92,-19.87,47.03,57.55,2.73
Varkaus,0,FI,1553287205,63,62.32,27.87,28.4,2.24
Palmer,90,US,1553286999,70,61.6,-149.11,51.01,16.11
Vila,0,IT,1553287805,39,45.18,8.4,57.99,2.24
Quatre Cocos,40,MU,1553287741,83,-20.21,57.76,82.4,6.93
Aras,0,YE,1553287806,81,14.28,44.38,46.93,1.5
Qianan,12,CN,1553287806,81,44.99,124.06,14.8,10.56
Kahului,40,US,1553287648,47,20.89,-156.47,80.6,12.75
Aleksandrov Gay,56,RU,1553287807,81,50.14,48.57,23.98,2.95
Fairbanks,1,US,1553287770,42,64.84,-147.72,54,9.17
Bandarbeyla,92,SO,1553287807,100,9.49,50.81,78.34,7.31
Manaus,75,BR,1553286000,79,-3.13,-59.98,84.2,6.93
Stranraer,20,CA,1553287582,47,51.71,-108.48,59,9.17
Pangnirtung,75,CA,1553284800,52,66.15,-65.72,-9.41,12.75
Muros,0,ES,1553287806,81,42.77,-9.06,55,2.24
Kodiak,1,US,1553287718,23,39.95,-94.76,64,5.82
Katsuura,75,JP,1553287295,56,33.93,134.5,44.6,9.17
Constitucion,20,MX,1553287216,13,23.99,-104.67,73.4,5.82
Porto Novo,75,BR,1553284800,100,-23.68,-45.44,66.2,5.82
Cherskiy,0,RU,1553287809,23,68.75,161.3,-15.72,3.18
Canby,90,US,1553287597,93,45.26,-122.69,52,3.36
Gumdag,0,TM,1553287810,85,39.2,54.59,40.99,1.5
Mogadishu,0,SO,1553287703,99,2.04,45.34,82.12,19.84
Llanes,0,ES,1553287577,89,43.42,-4.75,55,1.5
Codrington,40,AU,1553287643,100,-28.95,153.24,69.01,3.4
Maragogi,12,BR,1553287811,83,-9.01,-35.22,83.11,9.44
Tiksi,56,RU,1553287811,57,71.64,128.87,1.93,4.97
Kawalu,20,ID,1553287811,93,-7.38,108.21,64.48,1.95
Majene,8,ID,1553287811,98,-3.54,118.97,82.3,4.74
Chepareria,0,KE,1553287812,89,1.32,35.2,53.59,1.28
Cidreira,92,BR,1553287812,100,-30.17,-50.22,62.32,9.33
Koslan,80,RU,1553287812,94,63.46,48.9,29.83,2.51
Kavaratti,0,IN,1553287812,100,10.57,72.64,83.65,9.55
Ucluelet,75,CA,1553287526,47,48.94,-125.55,63,13.87
Port Hedland,75,AU,1553284800,94,-20.31,118.58,80.6,17.22
Fort Nelson,40,CA,1553284800,39,58.81,-122.69,50,3.4
Rome,0,IT,1553287803,47,41.89,12.48,59,4.7
Tuatapere,64,NZ,1553287805,82,-46.13,167.69,62.01,1.01
Kirensk,88,RU,1553287814,78,57.78,108.12,28.39,8.99
Broken Hill,48,AU,1553284800,38,-31.97,141.45,73.4,5.82
Riohacha,0,CO,1553284800,74,11.54,-72.91,82.4,13.87
Kathu,44,ZA,1553287543,35,-27.7,23.05,71.01,2.84
Adrar,0,DZ,1553284800,32,27.87,-0.29,66.2,9.17
Constanza,40,DO,1553284800,31,18.91,-70.74,91.4,11.41
Zacualpan,5,MX,1553287547,37,21.25,-105.17,84.2,6.93
Drayton Valley,0,CA,1553287816,76,53.22,-114.98,51.61,4.18
Maua,64,KE,1553287816,73,0.23,37.94,65.29,2.17
Shadrinsk,8,RU,1553287816,64,56.09,63.63,13.09,2.84
Havre-Saint-Pierre,75,CA,1553287560,80,50.23,-63.6,33.8,12.75
Belyy Yar,0,RU,1553284800,38,53.6,91.39,26.6,8.95
Taltal,0,CL,1553287817,73,-25.41,-70.49,69.61,3.74
Leningradskiy,20,RU,1553287817,83,69.38,178.42,-13.38,3.62
Kaura Namoda,0,NG,1553287817,60,12.59,6.58,78.52,2.62
Dingle,32,PH,1553287818,91,11,122.67,74.56,9.66
Bonthe,12,SL,1553287818,77,7.53,-12.5,83.02,5.19
Anchorage,40,US,1553287606,80,61.22,-149.89,51.01,8.05
Antsohihy,56,MG,1553287818,100,-14.88,47.99,72.49,5.19
Chapais,90,CA,1553284800,74,49.78,-74.86,30.2,23.04
Naze,40,NG,1553284800,88,5.43,7.07,78.8,4.41
Hobyo,92,SO,1553287819,85,5.35,48.53,79.51,13.02
Salalah,40,OM,1553284200,74,17.01,54.1,78.8,6.93
Saint-Augustin,0,FR,1553287781,58,44.83,-0.61,55,4.7
Havelock,1,US,1553287182,36,34.88,-76.9,66,20.8
San Vicente de Canete,36,PE,1553287820,73,-13.08,-76.38,72.49,4.18
Rawson,0,AR,1553287820,35,-43.3,-65.11,76,10
Izvestkovyy,32,RU,1553287821,76,48.98,131.55,3.73,2.95
Gisborne,8,NZ,1553287812,83,-38.66,178.02,64,1.99
Ixtapa,5,MX,1553287547,54,20.71,-105.21,82.4,14.99
La Primavera,0,AR,1553284800,34,-32.92,-68.67,78.8,3.36
Port Pirie,40,AU,1553284800,78,-33.18,138.01,71.6,10.29
Douglas,90,US,1553284560,87,58.28,-134.39,46.4,1.61
Zhangye,0,CN,1553287822,60,38.94,100.46,21.37,7.2
Canico,40,PT,1553287690,59,32.63,-16.85,62.6,17.22
Pathein,0,MM,1553287823,80,16.78,94.73,76.18,9.66
Tokur,0,RU,1553287823,35,53.13,132.9,-11.94,2.28
Vao,8,EE,1553287824,81,59.1,26.19,23.17,2.73
Nepa Nagar,0,IN,1553287824,44,21.47,76.4,63.22,5.41
Shirpur,0,IN,1553287824,54,21.35,74.88,62.5,2.84
Gat,20,SN,1553286600,77,14.69,-16.54,69.8,12.75
Raudeberg,75,NO,1553287507,93,61.99,5.14,46,25.28
Pocone,44,BR,1553287825,64,-16.26,-56.62,86.44,6.31
Podporozhye,92,RU,1553287825,85,60.91,34.16,31.09,11.68
Teguise,20,ES,1553286600,82,29.06,-13.56,62.6,17.22
Opuwo,80,NA,1553287825,52,-18.06,13.84,73.12,1.61
Foumban,32,CM,1553287826,87,5.73,10.9,67.27,2.51
Tunceli,0,TR,1553284200,60,39.11,39.55,39.2,2.24
Jaumave,75,MX,1553287816,57,23.41,-99.38,77,17.22
San Jeronimo,76,PE,1553287826,73,-13.65,-73.37,54.13,2.51
Qandala,0,SO,1553287826,94,11.47,49.87,62.23,2.73
Awjilah,0,LY,1553287827,58,29.14,21.3,68.71,10.67
Shaoyang,80,CN,1553287827,96,27.23,111.45,44.95,7.43
Guangyuan,88,CN,1553287827,41,32.43,105.86,44.05,2.51
Auki,12,NG,1553287827,30,12.18,6.51,79.78,5.3
Taganak,75,PH,1553284800,100,6.08,118.3,75.2,3.36
Gizo,20,IL,1553287826,87,31.8,34.94,60.8,2.24
Karratha,92,AU,1553287242,69,-20.74,116.85,83.11,23.42
Kavieng,56,PG,1553287828,100,-2.57,150.8,82.39,8.99
Ust-Maya,0,RU,1553287829,26,60.42,134.54,-18.96,2.73
Yerbogachen,88,RU,1553287829,90,61.28,108.01,25.15,6.53
Faya,0,SA,1553284800,36,18.39,42.45,62.6,6.93
Yinchuan,0,CN,1553287814,8,38.48,106.21,35.01,3
Finnsnes,75,NO,1553287580,64,69.23,17.98,37.4,55.25
Grasse,0,FR,1553287585,53,43.66,6.92,60.01,3.36
Namtsy,0,RU,1553284800,82,62.72,129.66,-16.61,2.24
Puquio,100,PE,1553287830,100,-14.69,-74.12,47.65,4.41
El Porvenir,20,HN,1553284800,54,15.75,-86.9,84.2,14.99
Erenhot,0,CN,1553287831,69,43.65,111.97,5.08,7.2
Sibu,75,MY,1553284800,94,2.29,111.83,77,1.05
Selenginsk,0,RU,1553284800,85,52.01,106.87,14,4.47
Atambua,0,ID,1553287832,100,-9.11,124.89,77.8,3.62
Matamoros,90,US,1553287825,69,25.87,-97.51,77,16.11
Saint-Francois,0,FR,1553287603,75,46.42,3.91,44.6,2.24
Placido de Castro,80,BR,1553287833,75,-10.34,-67.19,83.92,2.95
Airai,20,TL,1553287833,89,-8.93,125.41,69.34,1.95
Oistins,75,BB,1553284800,65,13.07,-59.53,82.4,20.8
Lovozero,8,RU,1553287833,65,68.01,35.02,10.21,3.74
Zuwarah,0,LY,1553287834,100,32.93,12.08,55.39,9.66
Road Town,40,VG,1553287703,61,18.42,-64.62,82.4,8.05
San Pedro,0,AR,1553287557,46,-33.68,-59.66,73.99,3
Svetlogorsk,0,RU,1553284800,100,53.14,59.15,26.6,2.24
Synya,64,RU,1553287838,89,65.37,58.04,27.04,5.3
Bandar-e Anzali,0,IR,1553284800,100,37.47,49.46,48.2,2.24
Nabire,80,ID,1553287838,96,-3.36,135.5,67,1.95
Fallon,1,US,1553284560,57,46.84,-105.12,50,14.99
Najran,0,SA,1553284800,26,17.54,44.22,78.8,2.24
Sao Gabriel da Cachoeira,40,BR,1553284800,66,-0.13,-67.09,87.8,5.82
Hershey,75,US,1553287569,61,40.29,-76.65,48.99,20.8
Gorom-Gorom,8,BF,1553287839,19,14.45,-0.24,80.5,9.66
Termez,90,AF,1553287385,71,37.23,67.28,57.2,2.24
Roald,75,NO,1553287804,75,62.58,6.12,46.4,19.46
Loikaw,0,MM,1553287840,81,19.67,97.21,57.82,2.17
Altay,0,CN,1553287840,49,47.83,88.13,-2.58,2.84
Clyde River,75,CA,1553284800,75,70.47,-68.59,-13.01,6.93
Madingou,64,CG,1553287841,93,-4.17,13.56,76.72,2.62
Cochabamba,20,BO,1553284800,27,-17.39,-66.16,86,5.82
Aktau,75,KZ,1553284800,81,43.65,51.16,44.6,11.18
Bukachacha,0,RU,1553287842,63,52.99,116.91,1.66,2.62
Cabinda,20,AO,1553284800,83,-5.56,12.19,84.2,5.82
Ocampo,8,PH,1553287842,99,13.56,123.37,73.39,5.3
Troitskoye,0,RU,1553287843,66,52.98,84.68,16.15,4.74
Carballo,0,ES,1553287806,93,43.21,-8.69,55.99,3.36
Fukue,40,JP,1553287767,52,35.03,136.69,44.6,21.92
Moundou,88,TD,1553287843,26,8.57,16.07,90.22,7.65
Saint-Joseph,0,FR,1553287685,53,43.56,6.97,60.01,3.36
Peruibe,100,BR,1553287844,100,-24.32,-47,76.9,18.28
Kashiwazaki,88,JP,1553287205,87,37.37,138.57,36,6.53
Talakan,44,RU,1553287844,71,50.29,130.28,8.23,5.41
